date,air_temp_51000h,air_temp_51101h,average_wave_period_51000h,average_wave_period_51101h,average_wave_period_51201h,dominant_wave_period_51000h,dominant_wave_period_51101h,dominant_wave_period_51201h,wave_height_21418t,wave_height_46402t,wave_height_51000h,wave_height_51101h,wave_height_51201h
2017-04-16,23.0625,22.883333333333333,8.52125,6.665416666666666,8.718936170212766,13.206249999999999,12.345416666666667,13.350212765957446,NA,14.14215624999978,2.029583333333333,2.17875,1.671276595744681
2017-04-17,22.1375,22.475,6.06625,6.130416666666666,5.80125,9.57625,7.577916666666667,8.863333333333333,NA,14.156239583333104,2.055833333333333,2.379583333333333,1.7525
2017-04-18,21.916666666666668,22.475,7.2025,7.2404166666666665,6.851794871794872,10.39375,13.222083333333334,12.43871794871795,NA,14.152177083333138,2.3329166666666667,2.5116666666666667,1.9284615384615384
2017-04-19,23.1,24.020833333333332,7.732083333333334,6.45,8.548333333333334,13.827083333333333,11.748333333333333,13.42625,NA,14.150697916666445,2.3091666666666666,1.9104166666666667,1.65
2017-04-20,23.541666666666668,22.745833333333334,5.947916666666667,6.883333333333333,5.961041666666667,8.8325,9.5125,11.6275,NA,14.168197916666458,1.94625,2.529166666666667,1.0841666666666667
2017-04-21,23.0375,22.366666666666667,8.374583333333334,9.299166666666666,8.780208333333333,13.023333333333333,13.28,12.274166666666666,NA,14.170937499999724,2.96375,3.6825,2.267916666666667
2017-04-22,22.75,23,8.09125,7.355833333333333,8.034375,12.984166666666667,12.2,12.904791666666666,NA,14.160124999999786,3.0629166666666667,2.52,2.339375
2017-04-23,23.266666666666666,23.3375,6.8975,6.244166666666667,7.585333333333334,11.85125,11.179583333333333,11.771777777777778,NA,14.141437499999787,2.3041666666666667,1.885,1.935111111111111
2017-04-24,23.445833333333333,24.056521739130435,6.695,6.0117391304347825,6.774166666666667,8.749583333333334,8.825652173913044,10.363958333333333,NA,14.129156249999815,1.6916666666666667,1.5291304347826087,1.2954166666666667
2017-04-25,23.845833333333335,24.2125,6.777916666666667,6.58125,5.837291666666666,8.805,10.564583333333333,11.342083333333333,NA,14.130854166666438,1.6575,1.5670833333333334,1.0272916666666667
2017-04-26,23.741666666666667,24.304166666666667,6.562916666666666,6.772083333333334,6.7185106382978725,10.146666666666667,10.662083333333333,11.959574468085107,NA,14.145843749999841,1.8841666666666665,1.69625,1.065531914893617
2017-04-27,23.379166666666666,24.058333333333334,6.299166666666666,6.92875,6.85695652173913,10.935,10.1975,11.176086956521738,NA,14.16107291666637,1.8095833333333333,1.6025,1.0269565217391305
